"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"65","163.62208448352476","74.50687850350296","4.95715834334871","-0.3075262411046977","0.27880859375","0.11962890625","0.43798828125","1300","0.0003137970869356355","0","0.0003137970869356355","0.0003137970869356355","65_64:0.00723778052607793;65_66:0.009370393884789274","65_64:660;65_66:660","true"
"66","209.8122223345578","130.74723847949622","4.885002710533329","-0.3091067496263565","0.17578125","0.2734375","0.078125","1300","0.00025328747353409967","0","0.00025328747353409967","0.00025328747353409967","","","true"
"67","272.47286817500805","169.72888234567532","5.113935811507176","-0.3058889857295697","0.0791015625","0.13037109375","0.02783203125","1300","0.0002709927858262156","0","0.0002709927858262156","0.0002709927858262156","67_68:0.006001432118204975;67_66:0.007893411904390746","67_68:660;67_66:660","true"
"68","183.57618119247172","27.411681615913707","4.743738787163904","-0.31111458963233274","0.385498046875","0.38720703125","0.3837890625","1300","0.00014733981641360953","0","0.00014733981641360953","0.00014733981641360953","","","true"
"69","199.83449784386397","131.25371375066263","5.117674122196898","-0.3044028997353383","0.199951171875","0.23681640625","0.1630859375","1300","0.00030420734188045496","0","0.00030420734188045496","0.00030420734188045496","69_68:0.007019674655738162;69_70:0.005549682905903297","69_68:660;69_70:660","true"
"70","227.77890493156306","137.7637743122808","4.89885838022416","-0.3082399407301921","0.314208984375","0.37158203125","0.2568359375","1300","0.00010810442321250955","0","0.00010810442321250955","0.00010810442321250955","","","true"
"71","319.01845719627016","302.91520733391764","4.788274283154685","-0.3094663460422399","0.244873046875","0.271484375","0.21826171875","1300","0.00014008271082943162","0","0.00014008271082943162","0.00014008271082943162","","","true"
"72","226.62089133921077","153.60883225980058","5.0591855803246455","-0.2985458699744989","0.29248046875","0.30029296875","0.28466796875","1300","0.00023317730874573852","0","0.00023317730874573852","0.00023317730874573852","","","true"
"73","309.614734960487","339.79977919682733","4.979586696784635","-0.307607369486609","0.412353515625","0.04833984375","0.7763671875","1300","0.00015248320938849867","0","0.00015248320938849867","0.00015248320938849867","73_66:0.006152475885402298","73_66:660","true"
"74","240.13576421611825","96.5535497918574","5.031458783561553","-0.3067427013413316","0.264892578125","0.0888671875","0.44091796875","1300","0.00034087888370680876","0","0.00034087888370680876","0.00034087888370680876","74_70:0.006170507520301072;74_89:0.013417524050258034","74_70:660;74_89:660","true"
"75","213.2516520462021","17.987336303313","5.006052104874081","-0.30673349842246334","0.372314453125","0.00390625","0.74072265625","1300","0.0002583000763509725","0","0.0002583000763509725","0.0002583000763509725","75_90:0.007429749190846435","75_90:660","true"
"76","282.85863560067384","51.10383719133277","4.83741332740325","-0.30948286299394656","0.27197265625","0.294921875","0.2490234375","1300","0.0001305779298500875","0","0.0001305779298500875","0.0001305779298500875","76_75:0.0075606202668678235","76_75:660","true"
"77","246.32970176433955","90.1851514353183","5.041931478923838","-0.30723078653018854","0.299072265625","0.21435546875","0.3837890625","1300","0.00021291186249573231","0","0.00021291186249573231","0.00021291186249573231","77_76:0.004923225080424032;77_78:0.02121429793329882;77_71:0.005432586541507245","77_76:660;77_78:780;77_71:660","true"
"78","273.4515659528223","57.095710306758555","4.64339994064128","-0.31230747337772335","0.291748046875","0.2177734375","0.36572265625","1300","0.00040351174195399304","0","0.00040351174195399304","0.00040351174195399304","","","true"
"79","296.02674749874967","75.21252016534278","4.863174033340553","-0.3092713261857367","0.275146484375","0.19091796875","0.359375","1300","0.00017686525679670294","0","0.00017686525679670294","0.00017686525679670294","79_78:0.012609573317777956;79_80:0.006396317738586288","79_78:660;79_80:660","true"
"80","233.99816948827763","281.1674163152898","5.031451554651588","-0.3072198090686745","0.338134765625","0.29248046875","0.3837890625","1300","0.00020068817132192648","0","0.00020068817132192648","0.00020068817132192648","80_81:0.007066516863751537","80_81:660","true"
"81","234.81054311430856","405.46913048422454","4.930433685473379","-0.30841914125984865","0.4873046875","0.001953125","0.97265625","1300","0.00014482671247986487","0","0.00014482671247986487","0.00014482671247986487","81_82:0.005109575480573114;81_72:0.005402662135784442","81_82:660;81_72:660","true"
"82","260.013612069745","283.18225304887045","4.89361623975718","-0.30897996872816896","0.19189453125","0.14990234375","0.23388671875","1300","0.00017029964410052552","0","0.00017029964410052552","0.00017029964410052552","82_83:0.005356946718440392","82_83:660","true"
"83","247.78528445094148","48.105960214779735","4.790694961649289","-0.31061744032224003","0.35400390625","0.6083984375","0.099609375","1300","0.00020718797957171693","0","0.00020718797957171693","0.00020718797957171693","83_92:0.006007359069653273","83_92:660","true"
"84","121.17448520813883","128.5832950024879","4.679678969708057","-0.31137294267603616","0.22119140625","0.10595703125","0.33642578125","1300","0.00029638943414948674","0","0.00029638943414948674","0.00029638943414948674","84_83:0.006027604300127554","84_83:660","true"
"85","338.78561428230336","213.60823834243635","5.104785758289611","-0.3061413803895981","0.292236328125","0.0791015625","0.50537109375","1300","0.000282058404533037","0","0.000282058404533037","0.000282058404533037","85_73:0.005002379287930514;85_84:0.08487700652025698;85_86:0.007184339347982183","85_73:660;85_84:660;85_86:660","true"
